"ID";"fileName";"fileNamePE";"experiment";"tissue";"condition";"replicate";"lane";"merge";"input";"pairedEnd";"macsGroup";"phredScore";"adapter";"trimQuality";"adapterPE";"trimQualityPE"
"SRR502350";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_Pol3_std";"";2;"SRX150560";NA;"false";"";"";"";"";"";""
"SRR502351";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"USC_ChipSeq_GM12878_YY1_std";"";1;"SRX150561";NA;"false";"";"";"";"";"";""
"SRR502352";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"USC_ChipSeq_GM12878_YY1_std";"";2;"SRX150561";NA;"false";"";"";"";"";"";""
"SRR502353";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Harvard_ChipSeq_GM12878_ZZZ3_std";"";1;"SRX150562";NA;"false";"";"";"";"";"";""
"SRR502354";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Harvard_ChipSeq_GM12878_ZZZ3_std";"";2;"SRX150562";NA;"false";"";"";"";"";"";""
"SRR502355";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_E2F1_std";"";1;"SRX150563";NA;"false";"";"";"";"";"";""
"SRR502356";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"USC_ChipSeq_HeLa-S3_E2F1_std";"";2;"SRX150563";NA;"false";"";"";"";"";"";""
"SRR502357";"";"";"SRP007993";"MCF-7 -;- mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis -;- ectoderm";"USC_ChipSeq_MCF-7_Input_UCDavis";"";1;"SRX150564";NA;"false";"";"";"";"";"";""
"SRR502358";"";"";"SRP007993";"MCF-7 -;- mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis -;- ectoderm";"USC_ChipSeq_MCF-7_Input_UCDavis";"";2;"SRX150564";NA;"false";"";"";"";"";"";""
"SRR502359";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Harvard_ChipSeq_HeLa-S3_BDP1_std";"";1;"SRX150565";NA;"false";"";"";"";"";"";""
"SRR502360";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Harvard_ChipSeq_HeLa-S3_BDP1_std";"";2;"SRX150565";NA;"false";"";"";"";"";"";""
"SRR502361";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg30_STAT1_std";"";1;"SRX150566";NA;"false";"";"";"";"";"";""
"SRR502362";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg30_STAT1_std";"";2;"SRX150566";NA;"false";"";"";"";"";"";""
"SRR502363";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg6h_STAT1_std";"";1;"SRX150567";NA;"false";"";"";"";"";"";""
"SRR502364";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg6h_STAT1_std";"";2;"SRX150567";NA;"false";"";"";"";"";"";""
"SRR502365";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Harvard_ChipSeq_HeLa-S3_RPC155_std";"";1;"SRX150568";NA;"false";"";"";"";"";"";""
"SRR502366";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Harvard_ChipSeq_HeLa-S3_RPC155_std";"";2;"SRX150568";NA;"false";"";"";"";"";"";""
"SRR502367";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_BRF2_std";"";1;"SRX150569";NA;"false";"";"";"";"";"";""
"SRR502368";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_BRF2_std";"";2;"SRX150569";NA;"false";"";"";"";"";"";""
"SRR502369";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Harvard_ChipSeq_K562_BRF2_std";"";3;"SRX150569";NA;"false";"";"";"";"";"";""
"SRR502370";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_4hr_c-Myc_Harvard_Control";"";1;"SRX150570";NA;"false";"";"";"";"";"";""
"SRR502371";"";"";"SRP007993";"MCF10A-Er-Src -;- mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER) -;- ectoderm";"Harvard_ChipSeq_MCF10A-Er-Src_4OHTAM_1uM_4hr_c-Myc_Harvard_Control";"";2;"SRX150570";NA;"false";"";"";"";"";"";""
"SRR502372";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_WHIP_IgG-mus";"";1;"SRX150571";NA;"false";"";"";"";"";"";""
"SRR502373";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_WHIP_IgG-mus";"";2;"SRX150571";NA;"false";"";"";"";"";"";""
"SRR502374";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_CEBPB_IgG-rab";"";1;"SRX150572";NA;"false";"";"";"";"";"";""
"SRR502375";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_CEBPB_IgG-rab";"";2;"SRX150572";NA;"false";"";"";"";"";"";""
"SRR502376";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_p300_(SC-48343)_IgG-rab";"";1;"SRX150573";NA;"false";"";"";"";"";"";""
"SRR502377";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_p300_(SC-48343)_IgG-rab";"";2;"SRX150573";NA;"false";"";"";"";"";"";""
"SRR502378";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_TBP_IgG-mus";"";1;"SRX150574";NA;"false";"";"";"";"";"";""
"SRR502379";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_TBP_IgG-mus";"";2;"SRX150574";NA;"false";"";"";"";"";"";""
"SRR502380";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_TAL1_(SC-12984)_IgG-mus";"";1;"SRX150575";NA;"false";"";"";"";"";"";""
"SRR502381";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_TAL1_(SC-12984)_IgG-mus";"";2;"SRX150575";NA;"false";"";"";"";"";"";""
"SRR502382";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_Mxi1_(AF4185)_IgG-rab";"";1;"SRX150576";NA;"false";"";"";"";"";"";""
"SRR502383";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_Mxi1_(AF4185)_IgG-rab";"";2;"SRX150576";NA;"false";"";"";"";"";"";""
"SRR502384";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_Mxi1_(AF4185)_IgG-rab";"";1;"SRX150577";NA;"false";"";"";"";"";"";""
"SRR502385";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_Mxi1_(AF4185)_IgG-rab";"";2;"SRX150577";NA;"false";"";"";"";"";"";""
"SRR502386";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_CEBPB_IgG-rab";"";1;"SRX150578";NA;"false";"";"";"";"";"";""
"SRR502387";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_CEBPB_IgG-rab";"";2;"SRX150578";NA;"false";"";"";"";"";"";""
"SRR502388";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_p300_(SC-584)_IgG-rab";"";1;"SRX150579";NA;"false";"";"";"";"";"";""
"SRR502389";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Stanford_ChipSeq_HeLa-S3_p300_(SC-584)_IgG-rab";"";2;"SRX150579";NA;"false";"";"";"";"";"";""
"SRR502390";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_GTF2F1_(AB28179)_IgG-rab";"";1;"SRX150580";NA;"false";"";"";"";"";"";""
"SRR502391";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_GTF2F1_(AB28179)_IgG-rab";"";2;"SRX150580";NA;"false";"";"";"";"";"";""
"SRR502392";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_CHD2_(AB68301)_IgG-rab";"";1;"SRX150581";NA;"false";"";"";"";"";"";""
"SRR502393";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_CHD2_(AB68301)_IgG-rab";"";2;"SRX150581";NA;"false";"";"";"";"";"";""
"SRR502394";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"USC_ChipSeq_K562_ZNF274_(M01)_UCDavis";"";1;"SRX150582";NA;"false";"";"";"";"";"";""
"SRR502395";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"USC_ChipSeq_K562_ZNF274_(M01)_UCDavis";"";2;"SRX150582";NA;"false";"";"";"";"";"";""
"SRR502396";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNa6h_IRF1_std";"";1;"SRX150583";NA;"false";"";"";"";"";"";""
"SRR502397";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNa6h_IRF1_std";"";2;"SRX150583";NA;"false";"";"";"";"";"";""
"SRR502398";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg30_IRF1_std";"";1;"SRX150584";NA;"false";"";"";"";"";"";""
"SRR502399";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNg30_IRF1_std";"";2;"SRX150584";NA;"false";"";"";"";"";"";""
"SRR502400";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Harvard_ChipSeq_GM12878_NF-YA_IgG-mus";"";1;"SRX150585";NA;"false";"";"";"";"";"";""
"SRR502401";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Harvard_ChipSeq_GM12878_NF-YA_IgG-mus";"";2;"SRX150585";NA;"false";"";"";"";"";"";""
"SRR502402";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Harvard_ChipSeq_GM12878_NF-YB_IgG-mus";"";1;"SRX150586";NA;"false";"";"";"";"";"";""
"SRR502403";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Harvard_ChipSeq_GM12878_NF-YB_IgG-mus";"";2;"SRX150586";NA;"false";"";"";"";"";"";""
"SRR502404";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Harvard_ChipSeq_HeLa-S3_NF-YA_IgG-rab";"";1;"SRX150587";NA;"false";"";"";"";"";"";""
"SRR502405";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Harvard_ChipSeq_HeLa-S3_NF-YA_IgG-rab";"";2;"SRX150587";NA;"false";"";"";"";"";"";""
"SRR502406";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_c-Myc_IgG-rab";"";1;"SRX150588";NA;"false";"";"";"";"";"";""
"SRR502407";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_c-Myc_IgG-rab";"";2;"SRX150588";NA;"false";"";"";"";"";"";""
"SRR502408";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Yale_ChipSeq_HUVEC_Input_std";"";1;"SRX150589";NA;"false";"";"";"";"";"";""
"SRR502409";"";"";"SRP007993";"HUVEC -;- umbilical vein endothelial cells -;- mesoderm";"Yale_ChipSeq_HUVEC_Input_std";"";2;"SRX150589";NA;"false";"";"";"";"";"";""
"SRR502410";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Brg1_IgG-mus";"";1;"SRX150590";NA;"false";"";"";"";"";"";""
"SRR502411";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Brg1_IgG-mus";"";2;"SRX150590";NA;"false";"";"";"";"";"";""
"SRR502412";"";"";"SRP007993";"HeLa-S3 -;- cervical carcinoma -;- ectoderm";"Yale_ChipSeq_HeLa-S3_Brg1_IgG-mus";"";3;"SRX150590";NA;"false";"";"";"";"";"";""
"SRR502413";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_Input_IgG-rab";"";1;"SRX150591";NA;"false";"";"";"";"";"";""
"SRR502414";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_Input_IgG-rab";"";2;"SRX150591";NA;"false";"";"";"";"";"";""
"SRR502415";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_Pol2_IgG-rab";"";1;"SRX150592";NA;"false";"";"";"";"";"";""
"SRR502416";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_Pol2_IgG-rab";"";2;"SRX150592";NA;"false";"";"";"";"";"";""
"SRR502417";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Znf143_(16618-1-AP)_IgG-rab";"";1;"SRX150593";NA;"false";"";"";"";"";"";""
"SRR502418";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_Znf143_(16618-1-AP)_IgG-rab";"";2;"SRX150593";NA;"false";"";"";"";"";"";""
"SRR502419";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_Input_IgG-goat";"";1;"SRX150594";NA;"false";"";"";"";"";"";""
"SRR502420";"";"";"SRP007993";"HepG2 -;- hepatocellular carcinoma -;- endoderm";"Stanford_ChipSeq_HepG2_Input_IgG-goat";"";2;"SRX150594";NA;"false";"";"";"";"";"";""
"SRR502421";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_c-Myc_IgG-rab";"";1;"SRX150595";NA;"false";"";"";"";"";"";""
"SRR502422";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_c-Myc_IgG-rab";"";2;"SRX150595";NA;"false";"";"";"";"";"";""
"SRR502423";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_BRCA1_(A300-000A)_IgG-rab";"";1;"SRX150596";NA;"false";"";"";"";"";"";""
"SRR502424";"";"";"SRP007993";"H1-hESC -;- embryonic stem cells -;- inner cell mass";"Stanford_ChipSeq_H1-hESC_BRCA1_(A300-000A)_IgG-rab";"";2;"SRX150596";NA;"false";"";"";"";"";"";""
"SRR502425";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Max_IgG-mus";"";1;"SRX150597";NA;"false";"";"";"";"";"";""
"SRR502426";"";"";"SRP007993";"GM12878 -;- B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus -;- mesoderm";"Stanford_ChipSeq_GM12878_Max_IgG-mus";"";2;"SRX150597";NA;"false";"";"";"";"";"";""
"SRR502427";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_CEBPB_IgG-rab";"";1;"SRX150598";NA;"false";"";"";"";"";"";""
"SRR502428";"";"";"SRP007993";"IMR90 -;- fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis -;- endoderm";"Stanford_ChipSeq_IMR90_CEBPB_IgG-rab";"";2;"SRX150598";NA;"false";"";"";"";"";"";""
"SRR502429";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_MafF_(M8194)_IgG-rab";"";1;"SRX150599";NA;"false";"";"";"";"";"";""
"SRR502430";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_MafF_(M8194)_IgG-rab";"";2;"SRX150599";NA;"false";"";"";"";"";"";""
"SRR502431";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNa30_c-Jun_std";"";1;"SRX150600";NA;"false";"";"";"";"";"";""
"SRR502432";"";"";"SRP007993";"K562 -;- leukemia, \"The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.\" - ATCC -;- mesoderm";"Stanford_ChipSeq_K562_IFNa30_c-Jun_std";"";2;"SRX150600";NA;"false";"";"";"";"";"";""
"SRR502433";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_Pol2_IgG-mus";"";1;"SRX150601";NA;"false";"";"";"";"";"";""
"SRR502434";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_Pol2_IgG-mus";"";2;"SRX150601";NA;"false";"";"";"";"";"";""
"SRR502435";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_Pol2_IgG-mus";"";3;"SRX150601";NA;"false";"";"";"";"";"";""
"SRR502436";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_Pol2_IgG-mus";"";4;"SRX150601";NA;"false";"";"";"";"";"";""
"SRR502437";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_Input_IgG-mus";"";1;"SRX150602";NA;"false";"";"";"";"";"";""
"SRR502438";"";"";"SRP007993";"GM18505 -;- lymphoblastoid, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18505_Input_IgG-mus";"";2;"SRX150602";NA;"false";"";"";"";"";"";""
"SRR502439";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_Pol2_IgG-mus";"";1;"SRX150603";NA;"false";"";"";"";"";"";""
"SRR502440";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_Pol2_IgG-mus";"";2;"SRX150603";NA;"false";"";"";"";"";"";""
"SRR502441";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_Pol2_IgG-mus";"";3;"SRX150603";NA;"false";"";"";"";"";"";""
"SRR502442";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_Input_IgG-mus";"";1;"SRX150604";NA;"false";"";"";"";"";"";""
"SRR502443";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_Input_IgG-mus";"";2;"SRX150604";NA;"false";"";"";"";"";"";""
"SRR502444";"";"";"SRP007993";"GM18526 -;- lymphoblastoid, International HapMap Project, Han Chinese in Beijing, China, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM18526_Input_IgG-mus";"";3;"SRX150604";NA;"false";"";"";"";"";"";""
"SRR502445";"";"";"SRP007993";"GM12891 -;- B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed -;- mesoderm";"Stanford_ChipSeq_GM12891_TNFa_NFKB_IgG-rab";"";1;"SRX150605";NA;"false";"";"";"";"";"";""
